Key;Title;Description;CategoryGroupID
A025422;Vervoer;"Alle vervoer van personen en goederen over rail, weg, water en door de lucht, exclusief internationale binnenvaart en vervoer op het eigen bedrijfsterrein.
De categorie Scheepvaart betreft bij de IPCC-en NEC-emissies alleen de Binnenscheepvaart en niet de Zeescheepvaart; bij de feitelijke emissies is de Zeescheepvaart (binnengaats en op NCP) wel opgenomen onder de categorie Zeevaart.
De categorie Luchtvaart omvat bij de IPCC alleen de emissies door binnenlandse vluchten; bij de NEC- en feitelijke emissies betreft dit de binnenlandse vluchten, en de emissies bij het taxiën, landen en stijgen tot 3000 voet vanaf Nederlands grondgebied van internationale vluchten.";8
A025424;"Wegverkeer; totaal";"Alle vervoer van personen en goederen via de openbare weg. Vervoer op het eigen bedrijfsterrein valt hier niet onder. Gedetailleerde emissiecijfers zijn te vinden in de Statlinetabel ""Emissies naar lucht; wegverkeer"".";8
A048112;"Wegverkeer; personenauto's";Verkeer binnen Nederland, inclusief buitenlandse voertuigen.;8
A052486;"Wegverkeer; motorfietsen";Motorvoertuigen voor het wegverkeer op twee, drie of vier wielen met een onbeladen gewicht van maximaal 400 kg.;8
A052487;"Wegverkeer; lichte bedrijfsvoertuigen";Lichte motorvoertuigen ingericht voor het vervoer van goederen, voor het uitvoeren van bijzondere doeleinden. Hieronder vallen de bestelauto's en de lichte speciale voertuigen.;8
A052488;"Wegverkeer; zware bedrijfsvoertuigen";Zware motorvoertuigen ingericht voor het vervoer van goederen, voor het uitvoeren van bijzondere doeleinden of voor het trekken van opleggers. Hieronder vallen de vrachtauto's (excl. trekker voor oplegger), trekkers voor oplegger en de zware speciale voertuigen.;8
A052489;"Wegverkeer; bussen";Motorvoertuigen voor personenvervoer over de weg met meer dan negen zitplaatsen (met inbegrip van de bestuurdersplaats).;8
A025423;"Railverkeer; totaal";Alle vervoer van personen en goederen via railverbindingen, zoals trein, tram en metro. Vervoer op het eigen bedrijfsterrein valt hier niet onder. Betreft de dieseltractie en de slijtage van bovenleidingen en stroomafnemers (fijn stof) bij de elektrische tractie, inclusief trolleybussen. Dus niet de emissies ten gevolge van de opwekking van elektriciteit.;8
A025426;"Binnenvaart; totaal";"Alle vervoer van personen en goederen via binnenlandse waterwegen, inclusief recreatievaart, exclusief internationale binnenvaart. Visserij valt hier niet onder.
De categorie Scheepvaart betreft bij de IPCC-en NEC-emissies alleen de Binnenvaart en niet de Zeescheepvaart; bij de feitelijke emissies is de Zeescheepvaart (binnengaats en op NCP) wel opgenomen. Binnenscheepvaart omvat bij de IPCC alleen de emissies door schepen met een Nederlandse bestemming; bij de NEC- en feitelijke emissies betreft dit de emissies op Nederlands grondgebied met Nederlandse of buitenlandse bestemming.";8
A048114;"Binnenvaart; personenvervoer";Passagiersvaart binnen Nederland, inclusief buitenlandse vaartuigen.;8
A048115;"Binnenvaart; vrachtvervoer";Vrachtvaart binnen Nederland, inclusief buitenlandse vaartuigen. Emissies zijn inclusief de verdamping van ladingresten (VOS).;8
A048116;"Binnenvaart; recreatievaartuigen";Recreatievaart binnen Nederland, inclusief buitenlandse vaartuigen.;8
A025427;Zeevaart;Stilliggende zeeschepen in havens en varende en manoeuvrerende zeeschepen op Nederlands grondgebied en het Nederlands deel van het continentaal plat (NCP). Het (Europees) Continentaal Plat bestaat uit het gebied dat zich bevindt tussen de laagwaterlijn en een waterdiepte van 200 meter, maar maximaal 200 mijl uit de kust. Tussen 1960 en 1975 hebben de Noordzeestaten verdragen gesloten om de landsgrenzen op het Continentaal Plat vast te leggen.;8
A048117;"Zeevaart; binnengaats";Stilliggende zeeschepen in havens en varende en manoeuvrerende zeeschepen op Nederlands grondgebied.;8
A048118;"Zeevaart; Nederlands Continentaal Plat";Het (Europees)Continentaal Plat bestaat uit het gebied dat zich bevindt tussen de laagwaterlijn en een waterdiepte van 200 meter, maar maximaal 200 mijl uit de kust. Tussen 1960 en 1975 hebben de Noordzeestaten verdragen gesloten om de landsgrenzen op het Continentaal Plat vast te leggen.;8
A025428;Luchtvaart;"Vervoer van personen en goederen via de lucht. Emissies door het verbranden en verdampen van vliegtuigbrandstoffen tijdens binnenlandse vluchten, en de emissies bij het taxiën, landen en stijgen tot 3000 voet vanaf Nederlands grondgebied van internationale vluchten.
De categorie Luchtvaart omvat bij de IPCC alleen de emissies door binnenlandse vluchten; bij de NEC- en feitelijke emissies betreft dit de binnenlandse vluchten én de emissies bij het taxiën, landen en stijgen tot 3000 voet vanaf Nederlands grondgebied van internationale vluchten.";8
A025429;"Overige mobiele bronnen; totaal";"Visserij (vissersschepen) en werktuigen met een verbrandingsmotor; hieronder vallen bijvoorbeeld landbouwtrekkers, vorkheftrucks, kranen en bouwmachines.";9
A048119;"Mobiele werktuigen; totaal";Werktuigen met een verbrandingsmotor. Hieronder vallen bijvoorbeeld landbouwtrekkers, vorkheftrucks en (wegen)bouwmachines;9
A025430;"Mobiele werktuigen; landbouw";Werktuigen met een verbrandingsmotor in de landbouw, zoals landbouwtrekkers en laadschoppen..;9
A048120;"Mobiele werktuigen; bouwnijverheid";Werktuigen met een verbrandingsmotor in de bouwnijverheid, zoals laadschoppen, graafmachines en generatoren.;9
A052490;"Mobiele werktuigen; industrie";Werktuigen met een verbrandingsmotor in de industrie, zoals verreikers en generatoren.;9
A052491;"Mobiele werktuigen; diensten";Werktuigen met een verbrandingsmotor in de dienstensector, zoals vorkheftrucks.;9
A025433;"Mobiele werktuigen; overige sectoren";Werktuigen met een verbrandingsmotoren voor o.a. consumenten , zoals grasmaaiers en bladblazers.;9
A025431;Visserij;Omvat binnenvisserij, kustvisserij en visserij op het Nederlands deel van het Continentaal Plat (zie Zeevaart).;9
