ID;Emissiebronnen;EmissiesNaarLucht;Perioden;EmissiesNaarLucht_1
241;T001176;A051771;2015JJ00;21.4
242;T001176;A051771;2016JJ00;20.2
243;T001176;A051771;2017JJ00;19.6
244;T001176;A051771;2018JJ00;19.4
245;T001176;A051771;2019JJ00;18.7
246;T001176;A051771;2020JJ00;17.3
247;T001176;A051771;2021JJ00;17.5
248;T001176;A051771;2022JJ00;17.3
249;T001176;A051771;2023JJ00;16.6
250;T001176;A051771;2024JJ00;16.0
251;T001176;A051771;2025JJ00;15.8
252;T001176;A044108;1990JJ00;1194.1
253;T001176;A044108;1995JJ00;920.8
254;T001176;A044108;2000JJ00;763.4
255;T001176;A044108;2001JJ00;759.2
256;T001176;A044108;2002JJ00;743.8
257;T001176;A044108;2003JJ00;743.5
258;T001176;A044108;2004JJ00;764.2
259;T001176;A044108;2005JJ00;737.7
260;T001176;A044108;2006JJ00;721.8
261;T001176;A044108;2007JJ00;689.7
262;T001176;A044108;2008JJ00;680.0
263;T001176;A044108;2009JJ00;612.9
264;T001176;A044108;2010JJ00;636.4
265;T001176;A044108;2011JJ00;589.0
266;T001176;A044108;2012JJ00;573.8
267;T001176;A044108;2013JJ00;553.3
268;T001176;A044108;2014JJ00;526.0
269;T001176;A044108;2015JJ00;531.1
270;T001176;A044108;2016JJ00;525.1
271;T001176;A044108;2017JJ00;508.9
272;T001176;A044108;2018JJ00;514.6
273;T001176;A044108;2019JJ00;496.7
274;T001176;A044108;2020JJ00;446.4
275;T001176;A044108;2021JJ00;447.2
276;T001176;A044108;2022JJ00;435.8
277;T001176;A044108;2023JJ00;409.3
278;T001176;A044108;2024JJ00;406.9
279;T001176;A044108;2025JJ00;394.9
280;A025447;A044109;1990JJ00;136700.0
281;A025447;A044109;1995JJ00;144800.0
282;A025447;A044109;2000JJ00;142400.0
283;A025447;A044109;2001JJ00;147600.0
284;A025447;A044109;2002JJ00;147000.0
285;A025447;A044109;2003JJ00;149700.0
286;A025447;A044109;2004JJ00;151900.0
287;A025447;A044109;2005JJ00;149000.0
288;A025447;A044109;2006JJ00;143400.0
289;A025447;A044109;2007JJ00;143600.0
290;A025447;A044109;2008JJ00;147900.0
291;A025447;A044109;2009JJ00;145500.0
292;A025447;A044109;2010JJ00;157800.0
293;A025447;A044109;2011JJ00;144300.0
294;A025447;A044109;2012JJ00;143000.0
295;A025447;A044109;2013JJ00;142900.0
296;A025447;A044109;2014JJ00;136900.0
297;A025447;A044109;2015JJ00;143600.0
298;A025447;A044109;2016JJ00;144600.0
299;A025447;A044109;2017JJ00;141600.0
300;A025447;A044109;2018JJ00;137300.0
301;A025447;A044109;2019JJ00;134000.0
302;A025447;A044109;2020JJ00;125700.0
303;A025447;A044109;2021JJ00;131400.0
304;A025447;A044109;2022JJ00;116900.0
305;A025447;A044109;2023JJ00;103400.0
306;A025447;A044109;2024JJ00;102300.0
307;A025447;A044109;2025JJ00;104600.0
392;A025447;A044112;1990JJ00;280.9
393;A025447;A044112;1995JJ00;238.2
394;A025447;A044112;2000JJ00;185.1
395;A025447;A044112;2001JJ00;181.5
396;A025447;A044112;2002JJ00;176.1
397;A025447;A044112;2003JJ00;176.1
398;A025447;A044112;2004JJ00;167.9
